"No","Test Name","MRP (INR)","Special Price (INR)","Our Price (INR)"
"1521","Vitamin E(Tocopherol)","5000","2500","2500"
"1522","Vitamin K","2750","1375","1375"
"1523","Vma -Spot Urine","3000","1500","1500"
"1524","Vma-Vanillylmandelic Acid ( 24 Hrs Urine )","3750","1875","1875"
"1525","Voltage Gated Calcium Channel ( Vgcc)Antibody","14500","7250","7250"
"1526","Volume (Blood Bank)","150","75","75"
"1527","Von Willebrand Factor Assay","11250","5625","5625"
"1528","Voriconazole","8000","4000","4000"
"1529","Walnut- Veg (EIA)","500","250","250"
"1530","Warm Agglutinin","750","375","375"
"1531","Water Culture","350","175","175"
"1532","Wbc Count ( Blood Bank)","300","150","150"
"1533","Weil Felix Test","1250","625","625"
"1534","Wet Mount For Amoebiasis","350","175","175"
"1535","Wet Mount For Ascaris","350","175","175"
"1536","Wet Mount Preparation","350","175","175"
"1537","Wheat- Veg (EIA)","500","250","250"
"1538","Widal Test","350","175","175"
"1539","Yogurat (EIA)","500","250","250"
"1540","Zinc","1000","500","500"
